"id","product_id","bank_id","title","sub_title","product_sort","banner_img","icon","logo","bg_color","icon_color","campaign_url","kyc_link","click_action","share_image","share_link","share_content","basic_content","documents","video_url","payout_amount","how_to_earn","faq","is_featured","status","remark","status_time","show_on_dashboard","offer_point","is_api","created_at","updated_at"
"1",NULL,NULL,"Loans",NULL,"34",NULL,"advisors/products/icon/1646024607loan.svg",NULL,"#f5f0f6","#8b334c",NULL,NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","1","Earn Upto 2.5%","7","0","0","0","2021-03-26 22:20:09","2022-05-11 21:34:09"
"2",NULL,NULL,"Insurance",NULL,"3",NULL,"advisors/products/icon/insurance.svg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","Earn upto ₹ 150","7","1","0","0","2021-03-26 22:20:09",NULL
"3",NULL,NULL,"Credit Cards",NULL,"1",NULL,"advisors/products/icon/creditcard.svg","advisors/products/logo/5HljAXwAmsJq5ufSnmMuREe2YvsuXwxBycEZSSpB.svg","#f9f8f3","#d46669",NULL,NULL,NULL,NULL,"",NULL,"<h2 style=""text-align: center;""><strong>Credit Card</strong></h2>
<p><strong>Basic</strong></p>
<p>A credit card is a line of credit that can be used to borrow money to make purchases, transfer balances and get cash advances, with the agreement that you'll pay back the money borrowed.</p>
<p><strong>Features</strong></p>
<ul>
<li>Easy Approval</li>
<li>Customised card limit</li>
<li>Purchasing on EMI</li>
<li>Availing Loans during emergency</li>
<li>ATM cash withdrawal</li>
<li>Discounts and Offers</li>
<li>Reward points 8. Secure pay</li>
</ul>
<p><strong>Eligibility</strong></p>
<ul>
<li>Minimum age - 18 years</li>
<li>Minimum salary &ndash; 35,000</li>
<li>Applicant should either be salaried or self-employed</li>
</ul>
<p><br /><strong>How to Earn</strong></p>
<ol>
<li>Suggest Credit Card to everyone who have a regular source of income in your network (friends/ customers)</li>
<li>Click on &ldquo;Add Lead&rdquo; Option and choose &ldquo;Credit Card&rdquo;.</li>
<li>Provide your customer&rsquo;s personal details (mobile no, pan no, mail-id, DOB etc.)</li>
<li>Provide your customer&rsquo;s Professional Details (professions, company name, salary, etc.)</li>
<li>If you are eligible, select a card from the eligible card list</li>
<li>You will earn Upto Rs. 2500 &amp; your commission will reflect in your Banksathi wallet after card successfully collect by your customer.</li>
<li>You will get the commission in your bank account on 15th of every month.</li>
</ol>","[
        {
            ""doc_name"": ""Proof of Identity  (any one of the following)"",
            ""doc_arr"": [
                {
                   ""title"": ""Passport""
                },
                {
                   ""title"": ""PAN Card""
                },
                {
                    ""title"": ""Ration Card""
                },
                {
                   ""title"": ""Aadhaar card""
                },
                {
                    ""title"": ""Voter's ID card""
                },
                {
                    ""title"": ""Driving license""
                }
            ]
        },
        {
            ""doc_name"": ""Address Proof (any one of the following)"",
            ""doc_arr"": [
                {
                   ""title"": ""Telephone bill""
                },
                {
                   ""title"": ""Electricity bill""
                },
                {
                    ""title"": ""Passport""
                },
                {
                   ""title"": ""Ration card""
                },
                {
                    ""title"": ""Rental agreement""
                },
                {
                    ""title"": ""Aadhaar card""
                }
            ]
        },
        {
            ""doc_name"": ""Income proof (For salaried)"",
            ""doc_arr"": [
                {
                   ""title"": ""Salary certificate""
                },
                {
                   ""title"": ""Recent salary slip/s""
                },
                {
                    ""title"": ""Employment letter""
                }
            ]
        },
        {
            ""doc_name"": ""Income proof (For self-employed)"",
            ""doc_arr"": [
                {
                   ""title"": ""Certified financials""
                },
                {
                   ""title"": ""Recent ITR (Income Tax Returns)""
                },
                {
                    ""title"": ""Audited profit and loss statement or balance sheet""
                }
            ]
        }
        
    ]","https://youtu.be/aUyzkpYJBjY",NULL,NULL,"[
          {
            ""que"": ""Who can take a Credit Card?"",
            ""ans"": ""Salaried Employees. Salaried doctors. Employees of public and private limited companies""
          },
           {
            ""que"": ""What is the minimum salary to get personal loan?"",
            ""ans"": ""Although, individuals with minimum monthly income of Rs. 30,000 are preferred more by the banks. And for self- employed individuals, a gross annual income of minimum Rs. 5 lakh is usually needed to qualify for a Credit Card.""
          },
           {
            ""que"": ""When will my commission be paid into my account?"",
            ""ans"": ""Your commission will be transfer to your bank account on 15th of every month.""
          }
        ]","0","1","Earn upto ₹9000","7","1","0","0","2021-03-26 22:20:09","2023-08-28 19:36:37"
"4","1",NULL,"Personal Loan",NULL,"21",NULL,"advisors/products/icon/1646024607loan.svg",NULL,"#f5f0f6","#8b334c",NULL,NULL,NULL,NULL,"",NULL,"<h2><strong>Personal Loan</strong></h2>

<p><strong>Basic</strong></p>

<p>A personal loan is borrowed to fulfil personal purposes such as medical emergencies, travel, wedding expenditure or debt consolidation.</p>

<p><strong>Features</strong></p>

<ul>
	<li>No collateral is required</li>
	<li>Less documentation</li>
	<li>Quick disbursement</li>
	<li>Easy EMI facility</li>
	<li>Flexible loan tenure</li>
</ul>

<p><strong>Eligibility</strong></p>

<ul>
	<li>Age - 21 to 60 years</li>
	<li>Monthly salary - Rs. 30,000</li>
	<li>Minimum Work Experience - 1 year</li>
	<li>Minimum Work Exp. with current organisation - 6 months</li>
</ul>

<p><strong>How to Earn</strong></p>

<ol>
	<li>Suggest Personal loan to salaried person in your network (friends/ customers)</li>
	<li>Click on &ldquo;Add Lead&rdquo; Option and choose &ldquo;Offer A Personal Loan&rdquo;.</li>
	<li>Provide your customer&rsquo;s personal details (mobile no, email-id, DOB, Address etc.)</li>
	<li>Provide your customer&rsquo;s existing loan details (if any)</li>
	<li>Provide Income details (monthly salary, company name, job vintage, office email, office address)</li>
	<li>You will earn Upto 2.25% of loan amount &amp; your commission will reflect in your Banksathi wallet after sanctioned your customer&rsquo;s loan sanction.</li>
	<li>You will get the commission in your bank account on 15th of every month.</li>
</ol>","[
        {
            ""doc_name"": ""KYC"",
            ""doc_arr"": [
                {
                   ""title"": ""Aadhar Card""
                },
                {
                   ""title"": ""PAN Card""
                },
                {
                    ""title"": ""1 passport size photograph""
                }
            ]
        },
        {
            ""doc_name"": ""Current Residence Proof (any one of the following)"",
            ""doc_arr"": [
                {
                   ""title"": ""Aadhar Card""
                },
                {
                   ""title"": ""Driving license""
                },
                {
                    ""title"": ""Passport""
                },
                {
                   ""title"": ""Credit card bill""
                },
                {
                    ""title"": ""Bank statement""
                },
                {
                    ""title"": ""Electricity bill""
                },
                {
                    ""title"": ""Rent agreement along with electricity bill""
                }
            ]
        },
        {
            ""doc_name"": ""Income Proof"",
            ""doc_arr"": [
                {
                   ""title"": ""Last 3 month’s salary slip ""
                },
                {
                   ""title"": ""Last 6 month’s bank statement (salary account)""
                },
                {
                    ""title"": ""Appointment letter from current employer""
                }
            ]
        },
        {
            ""doc_name"": ""Existing Loans (if any)"",
            ""doc_arr"": [
                {
                   ""title"": ""Sanction letter""
                },
                {
                   ""title"": ""Loan repayment schedule""
                }
            ]
        }
        
    ]","https://youtu.be/EuaCMPz9zjc",NULL,NULL,"[
          {
            ""que"": ""When will my commission be paid into my account?"",
            ""ans"": ""Personal loan commission will be transfer to your bank account on 15th of every month.""
          },
           {
            ""que"": ""Who can take a Personal Loan?"",
            ""ans"": ""Salaried Employees\n- Salaried doctors\n- Employees of public and private limited companies\n- Government sector employees""
          },
           {
            ""que"": ""What is the minimum salary to get personal loan?"",
            ""ans"": ""Although, individuals with minimum monthly income of Rs. 30,000 are preferred more by the banks. And for self- employed individuals, a gross annual income of minimum Rs. 5 lakh is usually needed to qualify for a personal loan.""
          },
           {
            ""que"": ""What is the maximum personal loan amount that I can get?"",
            ""ans"": ""The loan amount depends on your income and varies from lender to lender. The maximum unsecured loan amount mentioned by most banks is in the Rs. 20 lakh to Rs. 25 lakh.""
          }
        ]","0","1","Earn upto 2.5%","7","1","0","0","2021-04-26 22:20:09","2023-09-11 17:08:38"
"5","1",NULL,"Business Loan",NULL,"78",NULL,"advisors/products/icon/1640883396saving.svg",NULL,"#eefcef ","#34805a",NULL,NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","Earn Upto 2%","7","1","0","0","2022-07-21 19:29:33","2023-08-31 12:23:15"
"6","1",NULL,"Used Vehicle Loan",NULL,"79",NULL,"advisors/products/icon/personalloan.svg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0",NULL,"7","0","0","0","2021-04-26 22:20:09","2023-08-31 12:23:15"
"7","2",NULL,"Health Insurance",NULL,"80",NULL,"advisors/products/icon/insurance.svg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0",NULL,"7","0","0","0","2021-03-26 22:20:09","2023-08-31 12:23:15"
"8","2",NULL,"Life Insurance",NULL,"81",NULL,"advisors/products/icon/insurance.svg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0",NULL,"7","0","0","0","2021-03-26 22:20:09","2023-08-31 12:23:15"
"9","2",NULL,"Vehicle Insurance",NULL,"83",NULL,"advisors/products/icon/insurance.svg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0",NULL,"7","0","0","0","2021-03-26 22:20:09","2023-08-31 12:23:15"
"10","2",NULL,"Term Insurance",NULL,"75",NULL,"advisors/products/icon/insurance.svg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0",NULL,"7","0","0","0","2021-03-26 22:20:09","2023-08-31 12:23:15"
